Est. Sea-Level Pressure,124
Albedo (PSP),158
Zenith Angle,162
Wind Speed @ 22ft,110
Wind Direction @ 22ft,112
Wind Speed @ 42ft,116
Airmass,166
Wind Speed @ 42ft (Peak),120
Relative Humidity (Tower),100
Vertical Wind Shear,104
AOD 500nm,170
Dry Bulb Temperature (Tower),98
Albedo (CNR1),160
Precipitation,126
Relative Humidity (Deck),96
Turbidity 500nm TWC,148
Station Pressure,122
Dry Bulb Temperature (Deck),94
Wind Speed @ 22ft (Peak),114
AOD BroadBand,152
Azimuth Angle,164
Wind Direction @ 42ft,118
